Resource Theme Name,Resource Name,Resource Type,URL,ResourceCatalogueURL,Priority,Description
OPTIMADE Data Providers,AFLOW,Data,https://aflow.org,https://resources.psdi.ac.uk/data/optimade-aflow-aflow,3,Description of provider: Automatic FLOW (AFLOW) database for computational materials science. Description of dataset: The AFLOW OPTIMADE endpoint
OPTIMADE Data Providers,Alexandria: alexandria-pbesol,Data,https://tddft.org/bmg/data.php,https://resources.psdi.ac.uk/data/optimade-alexandria-alexandria-pbesol,3,Description of provider: A collection of databases from the group of Prof Miguel A. L. Marques at Ruhr University Bochum. Description of dataset: A new dataset of 415k stable and metastable materials calculated with the PBEsol and SCAN functionals
OPTIMADE Data Providers,Alexandria: alexandria-pbe,Data,https://tddft.org/bmg/data.php,https://resources.psdi.ac.uk/data/optimade-alexandria-alexandria-pbe,3,Description of provider: A collection of databases from the group of Prof Miguel A. L. Marques at Ruhr University Bochum. Description of dataset: A dataset of 2.5m+ stable and metastable materials calculated with the PBE functional
OPTIMADE Data Providers,Crystallography Open Database,Data,https://www.crystallography.net/cod,https://resources.psdi.ac.uk/data/optimade-cod-cod,2,"Open-access collection of crystal structures of organic, inorganic, metal-organic compounds and minerals, excluding biopolymers"
OPTIMADE Data Providers,Computational materials repository (CMR),Data,https://cmr.fysik.dtu.dk,https://resources.psdi.ac.uk/data/optimade-cmr-cmr,3,"CMR is a collection of materials repositories from different projects such as C2DB, QPOD and many more"
OPTIMADE Data Providers,Materials Cloud: MC3D - Materials Cloud three-dimensional crystals database,Data,https://www.materialscloud.org/explore/mc3d,https://resources.psdi.ac.uk/data/optimade-mcloud-mc3d,3,"Description of provider: A platform for Open Science built for seamless sharing of resources in computational materials science. Description of dataset: Curated set of relaxed three-dimensional crystal structures based on raw CIF data from the experimental databases MPDS, COD, and ICSD."
OPTIMADE Data Providers,Materials Cloud: MC2D - Materials Cloud two-dimensional crystals database,Data,https://www.materialscloud.org/explore/mc2d,https://resources.psdi.ac.uk/data/optimade-mcloud-mc2d,3,Description of provider: A platform for Open Science built for seamless sharing of resources in computational materials science. Description of dataset: Two-dimensional (2D) materials from high-throughput computational exfoliation of experimentally known compounds.
OPTIMADE Data Providers,Materials Cloud: 2D topological insulators,Data,https://www.materialscloud.org/explore/2dtopo,https://resources.psdi.ac.uk/data/optimade-mcloud-2dtopo,3,Description of provider: A platform for Open Science built for seamless sharing of resources in computational materials science. Description of dataset: Quantum spin Hall insulator (QSHI) candidates through DFT band structure calculations.
OPTIMADE Data Providers,Materials Cloud: Applicability of tail-corrections in the molecular simulations of porous materials,Data,https://www.materialscloud.org/explore/tc-applicability,https://resources.psdi.ac.uk/data/optimade-mcloud-tc-applicability,3,"Description of provider: A platform for Open Science built for seamless sharing of resources in computational materials science. Description of dataset: Tail-corrections in molecular simulations for adsorption of gasses in a diverse set of nanoporous crystalline materials (zeolites, Covalent Organic Framworks (COFs), and Metal Organic Frameworks (MOFs))."
OPTIMADE Data Providers,Materials Cloud: Pyrene-based metal organic frameworks,Data,https://www.materialscloud.org/discover/pyrene-mofs,https://resources.psdi.ac.uk/data/optimade-mcloud-pyrene-mofs,3,Description of provider: A platform for Open Science built for seamless sharing of resources in computational materials science. Description of dataset: Pyrene Metal Organic Frameworks (MOFs).
OPTIMADE Data Providers,Materials Cloud: CURATED covalent organic frameworks database,Data,https://www.materialscloud.org/discover/curated-cofs,https://resources.psdi.ac.uk/data/optimade-mcloud-curated-cofs,3,"Description of provider: A platform for Open Science built for seamless sharing of resources in computational materials science. Description of dataset: Database of experimentally reported Covalent-Organic Frameworks (COFs), provided with DFT-optimized geometry and DDEC partial charges for molecular simulations."
OPTIMADE Data Providers,Materials Cloud: SrTiO3-CeO2 interfaces,Data,https://www.materialscloud.org/explore/stoceriaitf,https://resources.psdi.ac.uk/data/optimade-mcloud-stoceriaitf,3,"Description of provider: A platform for Open Science built for seamless sharing of resources in computational materials science. Description of dataset: Refining random structure searching results of SrTiO3-CeO2 interfaces, and exploring how it can affect ionic conduction. Candidate structures of the DFT validation calculations."
OPTIMADE Data Providers,Materials Cloud: Automated high-throughput Wannierisation,Data,https://www.materialscloud.org/explore/autowannier,https://resources.psdi.ac.uk/data/optimade-mcloud-scdm,3,Description of provider: A platform for Open Science built for seamless sharing of resources in computational materials science. Description of dataset: Validation results of an automated protocol for generating maximally-localized Wannier functions in a high-throughput framework.
OPTIMADE Data Providers,Materials Cloud: Hidden spontaneous polarisation in the chalcohalide photovoltaic Sn2SbS2I3,Data,https://www.materialscloud.org/explore/tin-antimony-sulfoiodide,https://resources.psdi.ac.uk/data/optimade-mcloud-tin-antimony-sulfoiodide,3,"Description of provider: A platform for Open Science built for seamless sharing of resources in computational materials science. Description of dataset: Structural, dynamic and electronic characterisation of a novel mixed-metal chalcohalide revealing hidden symmetry breaking and spontaneous polarisation."
OPTIMADE Data Providers,Materials Cloud Archive: MC Archive zk-gc,Data,https://archive.materialscloud.org/record/2025.32,https://resources.psdi.ac.uk/data/optimade-mcloudarchive-zk-gc,3,"Description of provider: Databases contributed by the community to the Materials Cloud Archive. Description of dataset: Y. He et al., Machine learning on multiple topological materials datasets, Materials Cloud Archive 2025.32 (2025) doi: 10.24435/materialscloud:zk-gc"
OPTIMADE Data Providers,Materials Cloud Archive: MC Archive c8-gy,Data,https://archive.materialscloud.org/record/2023.181,https://resources.psdi.ac.uk/data/optimade-mcloudarchive-c8-gy,3,"Description of provider: Databases contributed by the community to the Materials Cloud Archive. Description of dataset: Z. Wang et al., Machine learning-accelerated discovery of A2BC2 ternary electrides with diverse anionic electron densities, Materials Cloud Archive 2023.181 (2023) doi: 10.24435/materialscloud:c8-gy"
OPTIMADE Data Providers,Materials Cloud Archive: MC Archive 5p-vq,Data,https://archive.materialscloud.org/record/2024.114,https://resources.psdi.ac.uk/data/optimade-mcloudarchive-5p-vq,3,"Description of provider: Databases contributed by the community to the Materials Cloud Archive. Description of dataset: V. Trinquet et al., Optical materials discovery and design with federated databases and machine learning, Materials Cloud Archive 2024.114 (2024) doi: 10.24435/materialscloud:5p-vq"
OPTIMADE Data Providers,Materials Cloud Archive: MC Archive vg-ya,Data,https://archive.materialscloud.org/record/2024.65,https://resources.psdi.ac.uk/data/optimade-mcloudarchive-vg-ya,3,"Description of provider: Databases contributed by the community to the Materials Cloud Archive. Description of dataset: L. Kahle et al., High-throughput computational screening for solid-state Li-ion conductors, Materials Cloud Archive 2024.65 (2024) doi: 10.24435/materialscloud:vg-ya"
OPTIMADE Data Providers,The Materials Project,Data,https://www.materialsproject.org,https://resources.psdi.ac.uk/data/optimade-mp-mp,3,Description of provider: An open database of computed materials properties to accelerate materials discovery and design. Description of dataset: The Materials Project OPTIMADE endpoint
OPTIMADE Data Providers,Material-Property-Descriptor Database,Data,https://phaseslab.com/mpdd,https://resources.psdi.ac.uk/data/optimade-mpdd-mpdd,3,Material-Property-Descriptor Database (MPDD) of atomic structures. Optimized for the high-throughput deployment of material featurizers and ML models. Maintained by Phases Research Lab (phaseslab.org) at The Pennsylvania State University
OPTIMADE Data Providers,Materials Platform for Data Science,Data,https://mpds.io,https://resources.psdi.ac.uk/data/optimade-mpds-mpds,3,"A highly curated Pauling File dataset based on ~0.5M publications and backing up Springer Materials, ICDD PDF, ASM APD, MedeA, Pearson Crystal Data, AtomWork Advanced, etc."
