Resource Theme Name,URL,ResourceCatalogueURL,Priority,Description
Container Image Registry,,https://resources.psdi.ac.uk/resource-theme/837eb69a-a3b4-4ed7-a495-d1908dae0e91,3.0,"Computing environments, including software applications and dependencies, can be packaged into containers to enhance portability, installation, and usability. This resource is a registry of PSDI-developed containers designed for researchers in the physical sciences."
Data Sources for PSDI Cross Data Search,https://data-search.psdi.ac.uk,https://resources.psdi.ac.uk/resource-theme/e0ed08b6-6d44-4cc8-8385-4929078cd622,1.0,"This resource theme includes data sources searchable via the PSDI Cross Data Search service. Users can search for substances (e.g., molecules or crystal structures) or publication references, depending on the selected data sources. It incorporates data from PSDI, partners, OPTIMADE providers, and other relevant external sources, offering a comprehensive discovery tool for the research community."
PSDI Knowledge Base Topics,https://guidance.psdi.ac.uk/docusaurus-pages,https://resources.psdi.ac.uk/resource-theme/dbb09221-f69d-4751-9f51-7623209d2c70,1.0,"The PSDI Knowledge Base offers guidance and training materials for physical scientists covering various themes related to working with scientific research data, and using the technologies and resources provided by PSDI. The main collections of topics provided are described in this resource theme."
OPTIMADE Data Providers,http://www.optimade.org,https://resources.psdi.ac.uk/resource-theme/33e34aed-745c-412c-8e90-f11bb2270a38,3.0,"The Open Databases Integration for Materials Design (OPTIMADE) consortium aims to make materials databases interoperable by developing a specification for a common REST API. This resource theme includes data providers who share their datasets through an OPTIMADE endpoint, making them accessible and searchable via the PSDI Cross Data Search Service."
Thematic Portal (Catalysis Data Infrastructure Example),http://github.com/UK-Catalysis-Hub/ukcathubapp,https://resources.psdi.ac.uk/resource-theme/c670ea46-1db5-4439-9fef-a922c6452ebb,2.0,"The Physical Sciences Data Infrastructure (PSDI) is set to become the largest UK data infrastructure for the physical sciences, supporting diverse research communities in accessing and sharing data resources. Community portals are designed to provide customized access points, enabling communities to showcase the research outputs generated using PSDI's resources and services. The database, services, code, and deployed portal demonstrate the benefits of community portals, highlighting their adaptability and ease of customization and deployment for diverse research communities."
PSDI Data Conversion,http://data-conversion.psdi.ac.uk,https://resources.psdi.ac.uk/resource-theme/7bcc430a-fdc9-413e-bf32-bf163236430b,1.0,"Your one-stop shop for file format conversion, PSDI's Data Conversion Service enables users to seamlessly convert between different file formats and assess the quality of proposed conversions. Several options are available, depending on whether you want to upload your data to PSDI or run the conversion locally or as part of your own applications. These options include: the PSDI Hosted Web Application, a standalone Command Line application that can be installed and run locally, and a Python library for integration into your own pipelines."
PSDI Data Revival,http://www.data-revival.com,https://resources.psdi.ac.uk/resource-theme/1d0c399d-2fc8-4b10-abcd-cd17ef0bcb8d,1.0,"The majority of laboratories and research groups have stacks of paper notebooks filled with valuable data that is difficult and time-consuming to access and use. Data Revival is an AI-driven service that can seamlessly convert your handwritten lab book pages into machine-readable data, unlocking the potential of your chemistry data. Operating with a high degree of accuracy, Data Revival creates relational links across your chemical data and enables users to run semantic searches across potentially millions of data points, including complex chemical structures. PSDI offers users the chance to experience Data Revival's capabilities firsthand."
PSDI Digital Lab Notebook Resources,http://psdi-uk.github.io/docusaurus-pages/docs/guidance/notebooks,https://resources.psdi.ac.uk/resource-theme/7fcea4ac-4f68-4ff9-b93b-faa75bc898da,2.0,"This resource theme provides a range of services and guidance to help users explore and appreciate the importance of digital notebooks in documenting their experiments and research. The guidance introduces the benefits of both generic digital notebooks and Electronic Laboratory Notebooks (ELNs), and the different considerations for implementation in laboratories. The resource theme includes case studies and exemplars. It also links to ELNFinder which is an external service for which PSDI is an active collaborator. This service helps users find the most suitable ELN based on a comprehensive set of criteria."
Data Collections for Chemical Modelling,https://github.com/PSDI-UK/psdi-datasets,https://resources.psdi.ac.uk/resource-theme/d9b4f050-69bb-467a-bc6c-c58bc0f25204,2.0,"This resource theme offers access to carefully curated data collections from diverse sources, as well as data exemplars developed through case studies. These exemplars explore innovative methods to enhance data capture, improve quality, facilitate sharing, and revive legacy data in meaningful ways. Our goal is to create, store, and manage robust data collections in the physical sciences, ensuring they are easily accessible to researchers. By simplifying data discovery and reuse, we promote broader utilisation and accelerate scientific advancements."
Case Studies: Discovering Value in Legacy Data,http://WillBeThePureLinkToReportOrTheKnowledgebaseSite,https://resources.psdi.ac.uk/resource-theme/61577a4d-ced8-4ebd-9443-88a54b74de1a,2.0,"This resource presents data exemplars and detailed case study reports from our investigations into unlocking the potential of legacy data. It highlights our approaches to meaningfully revive outdated datasets, enhancing their quality, and maximising their value. These efforts aim to provide practical guidance on methods for resurrecting data, uncovering value in hidden data sources, and accelerating scientific progress."
BioSim (Biomolecular Simulations) Data Resources,https://data-collections.psdi.ac.uk/communities/biosimdb,https://resources.psdi.ac.uk/resource-theme/b01dc999-4bb5-49d8-8a45-23cef457d6b4,2.0,"BioSimDR (Biomolecular Simulation Data Resources) is a collection of tools and data services designed to transform and store biomolecular simulations by capturing and archiving the full provenance of each simulation. Our tools can be used to meticulously record every step - from experimental structures to force field configurations and computational parameters - ensuring research is reproducible, transparent, and efficient. Our data services allow for biomolecular simulations to be stored, shared, and discovered in one place. This approach helps scientists to avoid redundant efforts, improves the reliability of findings, and supports AI-driven drug discovery and molecular modelling."
Data to Knowledge,https://data-collections.psdi.ac.uk/communities/data-to-knowledge,https://resources.psdi.ac.uk/resource-theme/aa3bd192-f865-45fd-9d0b-b6a9d6071992,2.0,"Machine learning has transformed the field of materials modelling in the last few years. Given access to high-quality data from computations and/or experiments, machine learning can be used to develop expert systems powered by large language models (such as ChatGPT). These expert systems can be to train surrogate models that can predict properties of structures, eliminating the need for simulations, or speed up simulations by using machine learnt interatomic potentials (MLIPs). The Data to Knowledge resource theme is dedicated to making the creation of these models possible by providing data infrastructure and workflows enabling the generation and exploitation of these machine learnt models. 
The Data to Knowledge collections comprise curated datasets designed for use in machine learning or generated through machine learning. An example is the Machine Learning Interatomic Potentials (MLIPs) data collection, which includes MLIPs XYZ files used for training, the trained model itself, and, where possible, related data such as AIIDA provenance records. Making these datasets available enables those without the resources to compute data themselves to utilise them for machine learning and modelling. Training is a central focus of this resource theme. We provide two types of training: general training and tool-specific training. Our general training is provided as self-paced learning online."
Collaborative Computational Project for NMR Crystallography (CCP-NC),http://www.ccpnc.ac.uk/database,https://resources.psdi.ac.uk/resource-theme/6e9f15c1-d2b3-444e-9de8-b6a8f530ab0e,2.0,"The Collaborative Computational Project for NMR Crystallography (CCP-NC) supports a multidisciplinary community by developing and integrating software tools that advance NMR crystallography. By combining experimental NMR with computational methods, CCP-NC enables researchers to gain atomic-scale insights into structure, disorder, and dynamics in the solid state. A key resource is its repository for first-principles NMR calculations, which standardises data using the .magres file format. The project also provides specialised software, such as MagresView, for data processing and visualisation, along with tools for electronic structure calculations and ab initio NMR parameter prediction. Additionally, CCP-NC offers training opportunities and access to high-performance computing (HPC) through the Young supercomputer, further enhancing research capabilities. Through these resources, CCP-NC empowers researchers to conduct cutting-edge NMR crystallography, improving efficiency, fostering collaboration, and expanding professional networks. By facilitating the development and adoption of advanced computational methods, the project contributes to the broader scientific community, driving innovation in materials research."
Galaxy Workflow Management System,http://materialsgalaxy.stfc.ac.uk,https://resources.psdi.ac.uk/resource-theme/dac6ab91-fd6e-43e1-b54a-55adc7548b14,2.0,"Post-processing experimental and simulation data from large-scale experiments conducted at national facilities requires integrating diverse software tools from various domains into cohesive workflows. Although these workflows can be highly complex, the software tools and data associated with them can be effectively managed using the open-source, web-based Galaxy Workflow Management System. Designed for FAIR data analysis, Galaxy enables users to run code in interactive environments, share and publish results, workflows, and visualisations, and ensure reproducibility by capturing and packaging the data, metadata, and provenance models essential for replicating and understanding their analyses. Use cases are provided for muon science and catalysis experiments, with plans to expand to other large-scale experiments."
PSDI Skills4Scientists,https://psdi-uk.github.io/docusaurus-pages/docs/training/self-paced-learning/skills4scientists,https://resources.psdi.ac.uk/resource-theme/2ac608e9-ad90-4216-881d-30004331ebf7,2.0,"Today's researchers must possess skills that extend beyond the specialised knowledge gained through their degrees and professional roles. The Skills4Scientists guidance materials are designed to enhance researchers' capabilities in areas such as computing, research data management, and other transferable research skills, supporting them in all aspects of their work. These resources include interactive learning materials, practical guidance topics, and best practices. Additionally, we are collaborating with the community to continuously grow and improve the guidance offered through PSDI."
SimpNMR (Software for Ab Initio-assisted Analysis of pNMR Data) and SimpNMR_DB (Curated Database),https://simpnmr.org,https://resources.psdi.ac.uk/resource-theme/bb0f915a-8c4d-4d4c-a4ab-aade7f0ecbf4,2.0,"SimpNMR is a Python package that simplifies analysis of the NMR spectra (e.g. 1H, 13C) of paramagnetic metal complexes in solution by incorporating outputs of ab initio calculations. It allows for prediction of the 1D spectra, assignment of experimental peaks, and fitting of the magnetic susceptibility tensor and the correlation times to experimental pNMR data. With variable temperature experiments, SimpNMR can also extract complete g-tensor in the molecular frame and in certain cases even D-tensor from solution pNMR data. SimpNMR_DB is a curated database that stores input data for SimpNMR analysis."
Universal Hyper Active Learning: A Data Pipeline to Accelerate Materials Discovery,,https://resources.psdi.ac.uk/resource-theme/a5859fae-3d1d-46ee-9751-8e2d2a566221,2.0,"Building accurate machine learning models of atomic interactions requires carefully curated training datasets, but generating these datasets is often the hardest and most time-consuming part of the process. ase-uhal is a Python tool that automates and accelerates this data generation step by steering atomistic simulations towards configurations the model finds most informative, avoiding redundant calculations. Its 'universal' extension to the hyperactive learning (HAL) approach makes it compatible with the new generation of foundation models that can be fine-tuned for specific applications, and introduces a batched workflow that significantly improves throughput over existing methods. Available via 'pip install ase-uhal' and integrated with the widely used ASE ecosystem, the approach is demonstrated on an InGaP alloy system, showing that models fit to diverse training data outperform those fitted using random sampling."
AI Ready Datasets,https://data-collections.psdi.ac.uk/communities/ai-ready-datasets,https://resources.psdi.ac.uk/resource-theme/9cf2919c-fcc2-4dfc-9e60-2d43cb0d6b1e,2.0,"AI ready datasets give physical sciences researchers data they can trust and reuse. By standardising formats, capturing essential metadata, and ensuring experimental and simulation outputs are findable and interoperable, they remove the hidden labour of data cleaning and preparation. This lets researchers focus on analysis and discovery, and it enables AI tools to work reliably across instruments, facilities, and disciplines. This resource theme brings together datasets designed to support AI and machine learning workflows, ranging from general purpose collections that researchers can shape for their own models, to task-specific datasets that already include annotations and predefined training, validation, and test splits. Every record includes one or more datafiles accompanied by a Croissant format metadata description (https://mlcommons.org/working-groups/data/croissant/), ensuring that structure, provenance, and context are captured in a machine readable way."
Project M: Calcium Carbonate Diffraction Datasets With Fit and Parameter Data,https://data-collections.psdi.ac.uk/communities/project-m,https://resources.psdi.ac.uk/resource-theme/89226c44-9d53-4952-99ec-0db48da3c58b,2.0,"Project M (https://www.diamond.ac.uk/ProjectM/) was a citizen science initiative run with UK secondary schools that generated an open collection of more than 650 calcium carbonate diffraction datasets, crystallised under a wide range of additives and conditions, with all associated fits and parameters included. This dataset forms part of the PSDI 'AI for Science' sub project ('Provision of 'AI ready' data: prototyping data pipelines and repositories', grant APP84520, award UKRI2697, opportunity OPP1033: EPSRC AI for Science) and has been selected and prepared as an example of AI ready data suitable for training AI tools and systems."
Machine Learning for Next-Generation Transmission Electron Microscopy (TEM),,https://resources.psdi.ac.uk/resource-theme/27774cac-6e13-4602-a547-ae5c68032a75,2.0,"TEMPOS (Transmission Electron Microscopy Particle Outline Segmentation) is used to generate synthetic datasets and train segmentation models via transfer learning, which are subsequently applied to segment experimental images to identify particle size, shape and morphology, across a range of substrates. Both the experimental data and their synthetic training counterparts, along with the resulting segmentation outputs, are archived and made available through 'TEM-ParticlesDB', an open-source repository of Transmission Electron Microscopy (TEM) images."
CrystaLLM-pi (AI-driven Prediction of Crystal Structure from Composition and Experimental Data),,https://resources.psdi.ac.uk/resource-theme/37242589-7d89-462a-afad-29386bcfcda4,2.0,"CrystaLLM-pi is an open-source, transformer-based tool for generating crystalline materials directly in CIF format using large language model techniques. It enables rapid exploration of crystal structure space and supports both unconditional generation and property-conditioned design, allowing users to target materials with specific characteristics such as band gap, density, photovoltaic efficiency, or XRD patterns.
Designed for materials scientists, it provides a fast, data-driven complement to traditional simulation methods, helping to generate candidate structures for further study or interpret experimental data. CrystaLLM-pi is available as source code, a prebuilt container for local deployment, and a web application for interactive use."
PSDI Organic Toolkit,https://organic-toolkit.psdi.ac.uk,https://resources.psdi.ac.uk/resource-theme/cdc51239-2a31-43f4-8207-a9eed84b24c2,1.0,The PSDI Organic Toolkit is a suite of web apps to support organic chemistry researchers in transparent and high-quality data-reporting. We provide services for visualisation of reaction scope and the variability of numeric reaction outcomes.
PSDI Subscribed Resources,,https://resources.psdi.ac.uk/resource-theme/1c4e7833-32a5-45ce-8c89-b5678de085a5,1.0,"This resource theme brings together trusted proprietary data sources and services developed by external providers, which PSDI subscribes to in order to make them available to its users. These include resources developed by the Cambridge Crystallographic Data Centre (CCDC), FIZ Karlsruhe and DECHEMA. Resources from the CCDC comprise the Cambridge Structural Database (CSD) and associated software which can be accessed through the PSDI Cross Data Search, the CCDC web interface, and via remote desktop. FIZ Karlsruhe develop and maintain the Inorganic Crystal Structure Database (ICSD), which is available in its own search web interface. DECHEMA develop and maintain DETHERM (Thermophysical Property Data) which is available via its own search web interface. Access to these resources requires PSDI login credentials, and certain datasets or tools may be restricted to specific PSDI user groups."
TopoStats and AFMDB: Resources for Atomic Force Microscopy (AFM) Image Analysis,,https://resources.psdi.ac.uk/resource-theme/3e2af553-056d-4c3c-be77-ef13a90c286a,2.0,"This resource theme contains AFM (Atomic Force Microscopy) resources that bring together tools and data collections to support the processing, analysis, and sharing of AFM datasets. The TopoStats tool enables the batch processing of AFM datafiles to obtain rich, quantitative statistics and is developed with the FAIR principles for research software in mind. The accompanying Community Data Collection, AFMDB, provides a platform for the sharing of AFM datafiles, along with processed images, to encourage open data practices and aid the devlopment of deep learning tools for enhanced AFM analysis."
